mineral_name,element,ima_count,rruff_count,ima,rruff
Rankamaite,K,1.5,0.333333333333333,"(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_","(Na,K,Pb^2+^)(Ta^5+^,Nb^5+^,Al)_4_(O,OH)_10_"
Rankamaite,Na,1.5,0.333333333333333,"(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_","(Na,K,Pb^2+^)(Ta^5+^,Nb^5+^,Al)_4_(O,OH)_10_"
Rankamaite,Nb,3.66666666666666,1.33333333333333,"(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_","(Na,K,Pb^2+^)(Ta^5+^,Nb^5+^,Al)_4_(O,OH)_10_"
Rankamaite,O,23.25,7.5,"(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_","(Na,K,Pb^2+^)(Ta^5+^,Nb^5+^,Al)_4_(O,OH)_10_"
Rankamaite,Ta,3.66666666666666,1.33333333333333,"(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_","(Na,K,Pb^2+^)(Ta^5+^,Nb^5+^,Al)_4_(O,OH)_10_"
Renierite,Cu,5.5,8.25,"(Cu^1+^,Zn)_11_Fe_4_(Ge^4+^,As^5+^)_2_S_16_","(Cu^1+^,Cu^2+^Zn^2+^)_11_(Fe^2+^,Fe^3+^)_4_(Ge^4+^,As^5+^)_2_S^2-^_16_"
Renierite,Zn,5.5,2.75,"(Cu^1+^,Zn)_11_Fe_4_(Ge^4+^,As^5+^)_2_S_16_","(Cu^1+^,Cu^2+^Zn^2+^)_11_(Fe^2+^,Fe^3+^)_4_(Ge^4+^,As^5+^)_2_S^2-^_16_"
Rhodesite,H,11,10,KHCa_2_Si_8_O_19_·5H_2_O,K_2_Ca_2_Si_8_O_19_·5H_2_O
Rhodesite,K,1,2,KHCa_2_Si_8_O_19_·5H_2_O,K_2_Ca_2_Si_8_O_19_·5H_2_O
Richellite,Ca,1,0.5,"CaFe^3+^_2_(PO_4_)_2_(OH,F)_2_","(Ca,Fe^2+^)(Fe^3+^,Al)_2_(PO_4_)_2_(OH)_2_"
Richellite,Fe,2,1.5,"CaFe^3+^_2_(PO_4_)_2_(OH,F)_2_","(Ca,Fe^2+^)(Fe^3+^,Al)_2_(PO_4_)_2_(OH)_2_"
Richellite,H,0.5,2,"CaFe^3+^_2_(PO_4_)_2_(OH,F)_2_","(Ca,Fe^2+^)(Fe^3+^,Al)_2_(PO_4_)_2_(OH)_2_"
Richellite,O,8.5,10,"CaFe^3+^_2_(PO_4_)_2_(OH,F)_2_","(Ca,Fe^2+^)(Fe^3+^,Al)_2_(PO_4_)_2_(OH)_2_"
Rittmannite,Al,1,2,"(Mn^2+^,Ca)Mn^2+^(Fe^2+^,Mn^2+^,Mg)_2_(Al,Fe^3+^)_2_(PO_4_)_4_(OH)_2_·8H_2_O",Mn^2+^Mn^2+^Fe^2+^_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O
Rittmannite,Fe,1.666666666666666,2,"(Mn^2+^,Ca)Mn^2+^(Fe^2+^,Mn^2+^,Mg)_2_(Al,Fe^3+^)_2_(PO_4_)_4_(OH)_2_·8H_2_O",Mn^2+^Mn^2+^Fe^2+^_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O
Rittmannite,Mn,2.166666666666666,2,"(Mn^2+^,Ca)Mn^2+^(Fe^2+^,Mn^2+^,Mg)_2_(Al,Fe^3+^)_2_(PO_4_)_4_(OH)_2_·8H_2_O",Mn^2+^Mn^2+^Fe^2+^_2_Al_2_(PO_4_)_4_(OH)_2_·8H_2_O
Rogermitchellite,B,4,3,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Rogermitchellite,H,46,30,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Rogermitchellite,Na,6,12,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Rogermitchellite,O,149,144,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Rogermitchellite,Si,39,42,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Rogermitchellite,Sr,12,6,Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_4_O_123_(OH)_6_·20H_2_O,"Na_6_(Sr,Na)_12_Ba_2_Zr^4+^_13_Si_39_(B,Si)_6_O_123_(OH)_12_·9H_2_O"
Roxbyite,Cu,9,1.78,Cu_9_S_5_,Cu_1.78_S
Roxbyite,S,5,1,Cu_9_S_5_,Cu_1.78_S
Ruifrancoite,Fe,1.33333333333333,4,"Ca_2_([box],Mn)_2_(Fe^3+^,Mn,Mg)_4_Be_4_(PO_4_)_6_(OH)_6_·4H_2_O",Ca_2_[box]_2_Fe^3+^_4_Be_4_(PO_4_)_6_(OH)_6_·4H_2_O
Safflorite,Co,1,0.333333333333333,CoAs_2_,"(Co^2+^,Fe^2+^,Ni^2+^)As_2_"
Saneroite,H,2,4,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),"Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_"
Saneroite,Mn,5,10,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),"Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_"
Saneroite,Na,1,2,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),"Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_"
Saneroite,O,19,38,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),"Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_"
Saneroite,Si,5,11,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),"Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_"
Schluterite-(Y),Y,1,2,"(Y,REE)_2_AlSi_2_O_7_(OH)_2_F",Y_2_AlSi_2_O_7_(OH)_2_F
Schreibersite,Fe,1.5,0.999999999999999,"(Fe,Ni)_3_P","(Fe,Ni,Cr)_3_P"
Schreibersite,Ni,1.5,0.999999999999999,"(Fe,Ni)_3_P","(Fe,Ni,Cr)_3_P"
Sicherite,As,1.5,3,"TlAg_2_(As,Sb)_3_S_6_",TlAg_2_As_3_S_6_
Soucekite,S,1.5,3,"CuPbBi(S,Se)_3_",Cu^1+^Pb^2+^Bi^3+^S^2-^_3_
Spionkopite,Cu,39,1.32,Cu_39_S_28_,Cu_1.32_S
Spionkopite,S,28,1,Cu_39_S_28_,Cu_1.32_S
Stalderite,Zn,0.666666666666666,2,"TlCu(Zn,Fe,Hg)_2_As_2_S_6_",Cu^1+^Zn^2+^_2_Tl^1+^As^3+^_2_S^2-^_6_
Stannoidite,Fe,1.5,2.5,"Cu_8_(Fe,Zn)_3_Sn_2_S_12_","Cu^1+^_8_Fe^3+^_2_(Fe^2+^,Zn^2+^)Sn^4+^_2_S^2-^_12_"
Stannoidite,Zn,1.5,0.5,"Cu_8_(Fe,Zn)_3_Sn_2_S_12_","Cu^1+^_8_Fe^3+^_2_(Fe^2+^,Zn^2+^)Sn^4+^_2_S^2-^_12_"
Thadeuite,H,0.5,2,"CaMg_3_(PO_4_)_2_(OH,F)_2_",CaMg_3_(PO_4_)_2_(OH)_2_
Thadeuite,O,8.5,10,"CaMg_3_(PO_4_)_2_(OH,F)_2_",CaMg_3_(PO_4_)_2_(OH)_2_
Tlapallite,Ca,1,2,"H_6_(Ca,Pb)_2_(Cu,Zn)_3_O_2_(SO_4_)(Te^4+^O_3_)_4_(Te^6+^O_4_)",H_6_Ca_2_Cu^2+^_3_S^6+^O_4_(Te^4+^O_3_)_4_(Te^6+^O_6_)
Tlapallite,Cu,1.5,3,"H_6_(Ca,Pb)_2_(Cu,Zn)_3_O_2_(SO_4_)(Te^4+^O_3_)_4_(Te^6+^O_4_)",H_6_Ca_2_Cu^2+^_3_S^6+^O_4_(Te^4+^O_3_)_4_(Te^6+^O_6_)
Tremolite,Mg,4.75,5,[box]Ca_2_(Mg_5.0-4.5_Fe^2+^_0.0-0.5_)Si_8_O_22_(OH)_2_,[box]Ca_2_Mg_5_Si_8_O_22_(OH)_2_
Tsepinite-Na,Ba,0.4,2.4,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,H,6.8,31.8,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,K,0.4,2.4,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,Na,0.4,2.4,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,O,16.6,68.6,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,Si,4,16,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,Sr,0.4,2.4,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsepinite-Na,Ti,1,8,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tveitite-(Y),Y,3,7,"(Y,Na)_6_(Ca,Na,REE)_12_(Ca,Na)F_42_","(Y,Na)_6_(Ca,Na,Y)_12_(Ca,Na)F_42_"
Twinnite,Sb,1.26,2,Pb(Sb_0.63_As_0.37_)_2_S_4_,PbSb_2_S_4_
Veenite,Sb,1,2,"Pb_2_(Sb,As)_2_S_5_",Pb_2_Sb_2_S_5_
Versiliaite,Fe,6,9.33333333333333,(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S,"(Fe^2+^,Fe^3+^,Zn^2+^)_8_(Sb^3+^,Fe^3+^,As^3+^)_16_O_32_S^2-^_1.3_"
Versiliaite,O,16,32,(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S,"(Fe^2+^,Fe^3+^,Zn^2+^)_8_(Sb^3+^,Fe^3+^,As^3+^)_16_O_32_S^2-^_1.3_"
Versiliaite,S,1,1.3,(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S,"(Fe^2+^,Fe^3+^,Zn^2+^)_8_(Sb^3+^,Fe^3+^,As^3+^)_16_O_32_S^2-^_1.3_"
Versiliaite,Sb,6,5.33333333333333,(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S,"(Fe^2+^,Fe^3+^,Zn^2+^)_8_(Sb^3+^,Fe^3+^,As^3+^)_16_O_32_S^2-^_1.3_"
Veszelyite,Cu,1,3,"(Cu,Zn)_2_Zn(PO_4_)(OH)_3_·2H_2_O",Cu^2+^_3_PO_4_(OH)_3_·2H_2_O
Wallkilldellite,As,2,4,Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,Ca_4_Mn^2+^_6_(As^5+^O_4_)_4_(OH)_8_·18H_2_O
Wallkilldellite,Ca,2,4,Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,Ca_4_Mn^2+^_6_(As^5+^O_4_)_4_(OH)_8_·18H_2_O
Wallkilldellite,H,22,44,Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,Ca_4_Mn^2+^_6_(As^5+^O_4_)_4_(OH)_8_·18H_2_O
Wallkilldellite,Mn,3,6,Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,Ca_4_Mn^2+^_6_(As^5+^O_4_)_4_(OH)_8_·18H_2_O
Wallkilldellite,O,21,42,Ca_2_Mn^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,Ca_4_Mn^2+^_6_(As^5+^O_4_)_4_(OH)_8_·18H_2_O
Wallkilldellite-(Fe),As,2,0.4,Ca_2_Fe^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,"(Ca,Cu^2+^)_4_Fe^2+^_6_(As^5+^O_4_,SiO_4_)_4_(OH)_8_·18H_2_O"
Wallkilldellite-(Fe),Fe,3,6,Ca_2_Fe^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,"(Ca,Cu^2+^)_4_Fe^2+^_6_(As^5+^O_4_,SiO_4_)_4_(OH)_8_·18H_2_O"
Wallkilldellite-(Fe),H,22,44,Ca_2_Fe^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,"(Ca,Cu^2+^)_4_Fe^2+^_6_(As^5+^O_4_,SiO_4_)_4_(OH)_8_·18H_2_O"
Wallkilldellite-(Fe),O,21,29.2,Ca_2_Fe^2+^_3_(AsO_4_)_2_(OH)_4_·9H_2_O,"(Ca,Cu^2+^)_4_Fe^2+^_6_(As^5+^O_4_,SiO_4_)_4_(OH)_8_·18H_2_O"
Watanabeite,As,1,2,"Cu_4_(As,Sb)_2_S_5_",Cu_4_As_2_S_5_
Watkinsonite,Se,4,8,"PbCu_2_Bi_4_(Se,S)_8_",PbCu_2_Bi_4_Se_8_
Weibullite,Ag,0.33,0.3,"Ag_0.33_Pb_5.33_Bi_8.33_(S,Se)_18_","Ag_0.3_Pb_5.3_Bi_8.3_(S,Se)_18_"
Weibullite,Bi,8.33,8.3,"Ag_0.33_Pb_5.33_Bi_8.33_(S,Se)_18_","Ag_0.3_Pb_5.3_Bi_8.3_(S,Se)_18_"
Weibullite,Pb,5.33,5.3,"Ag_0.33_Pb_5.33_Bi_8.33_(S,Se)_18_","Ag_0.3_Pb_5.3_Bi_8.3_(S,Se)_18_"
Wermlandite,Mg,7,8,Mg_7_Al_2_(OH)_18_[Ca(H_2_O)_6_](SO_4_)_2_·6H_2_O,Mg_8_Al_2_(OH)_18_(S^6+^O_4_)_2_·12H_2_O
Wiklundite,As,5,2.6,"Pb_2_(Mn^2+^,Zn)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_[(Si,As^5+^)O_4_]_6_(OH)_18_Cl_6_","Pb^2+^_2_(Mn^2+^,Zn^2+^)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_(Si,As^5+^O_4_)_6_(OH)_18_Cl_6_"
Wiklundite,O,48,26.4,"Pb_2_(Mn^2+^,Zn)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_[(Si,As^5+^)O_4_]_6_(OH)_18_Cl_6_","Pb^2+^_2_(Mn^2+^,Zn^2+^)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_(Si,As^5+^O_4_)_6_(OH)_18_Cl_6_"
Wilancookite,Ba,5.66666666666666,11,"(Ba,K,Na)_8_(Ba,Li,[box])_6_Be_24_P_24_O_96_·32H_2_O",Ba_8_(Ba_3_Li_2_[box])Be_24_P_24_O_96_·32H_2_O
Wilancookite,Li,3,2,"(Ba,K,Na)_8_(Ba,Li,[box])_6_Be_24_P_24_O_96_·32H_2_O",Ba_8_(Ba_3_Li_2_[box])Be_24_P_24_O_96_·32H_2_O
Wilcoxite,H,34,36,MgAl(SO_4_)_2_F·17H_2_O,MgAl(S^6+^O_4_)_2_F·18H_2_O
Wilcoxite,O,25,26,MgAl(SO_4_)_2_F·17H_2_O,MgAl(S^6+^O_4_)_2_F·18H_2_O
Wohlerite,Ca,4,2,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Wohlerite,F,2,1,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Wohlerite,Na,2,1,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Wohlerite,O,16,8,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Wohlerite,Si,4,2,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Wohlerite,Zr,1,0.5,"Na_2_Ca_4_Zr(Nb,Ti)(Si_2_O_7_)_2_(O,F)_4_","NaCa_2_(Zr^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Yimengite,Cr,3,0.25,"K(Cr,Ti,Fe,Mg)_12_O_19_","K(Cr^3+^,Ti^4+^,Fe^3+^,Mg)"
Yimengite,Fe,3,0.25,"K(Cr,Ti,Fe,Mg)_12_O_19_","K(Cr^3+^,Ti^4+^,Fe^3+^,Mg)"
Yimengite,Mg,3,0.25,"K(Cr,Ti,Fe,Mg)_12_O_19_","K(Cr^3+^,Ti^4+^,Fe^3+^,Mg)"
Yimengite,Ti,3,0.25,"K(Cr,Ti,Fe,Mg)_12_O_19_","K(Cr^3+^,Ti^4+^,Fe^3+^,Mg)"
Yofortierite,H,16,15.166666666666668,Mn^2+^_5_Si_8_O_20_(OH)_2_·7H_2_O,"(Mn^2+^,Mg,Fe^3+^)_5_Si_8_O_20_(OH,H_2_O)_2_·7H_2_O"
Yofortierite,Mn,5,1.66666666666666,Mn^2+^_5_Si_8_O_20_(OH)_2_·7H_2_O,"(Mn^2+^,Mg,Fe^3+^)_5_Si_8_O_20_(OH,H_2_O)_2_·7H_2_O"
Yofortierite,O,29,27.833333333333336,Mn^2+^_5_Si_8_O_20_(OH)_2_·7H_2_O,"(Mn^2+^,Mg,Fe^3+^)_5_Si_8_O_20_(OH,H_2_O)_2_·7H_2_O"
Yttrotantalite-(Y),Nb,0.5,1,"(Y,U,Fe^2+^)(Ta,Nb)(O,OH)_4_","(Y^3+^,U^6+^,Fe^2+^)(Ta^5+^,Nb^5+^)_2_(O,OH)_4_"
Yttrotantalite-(Y),Ta,0.5,1,"(Y,U,Fe^2+^)(Ta,Nb)(O,OH)_4_","(Y^3+^,U^6+^,Fe^2+^)(Ta^5+^,Nb^5+^)_2_(O,OH)_4_"
Zincrosasite,Zn,1,2,"(Zn,Cu)_2_(CO_3_)(OH)_2_",Zn^2+^_2_(CO_3_)(OH)_2_
Zirconolite,Ca,0.5,1,"(Ca,Y)Zr(Ti,Mg,Al)_2_O_7_",CaZr^4+^Ti^4+^_2_O_7_
Zirconolite,Ti,0.666666666666666,2,"(Ca,Y)Zr(Ti,Mg,Al)_2_O_7_",CaZr^4+^Ti^4+^_2_O_7_
