from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name
Actinolite,Ca+2,2,4,2,1.9466666666666668,0.4365854110792049,2,Actinolite
Actinolite,Mg+2,2,4,2,1.9466666666666668,0.4365854110792049,2,Actinolite
Actinolite,Fe+2,2,4,2,1.9466666666666668,0.4365854110792049,2,Actinolite
Actinolite,Si+4,4,4,2,1.9466666666666668,0.4365854110792049,4,Actinolite
Actinolite,O-2,-2,4,2,1.9466666666666668,0.4365854110792049,-2,Actinolite
Actinolite,H+1,1,4,2,1.9466666666666668,0.4365854110792049,1,Actinolite
Aenigmatite,Na+1,1,4.567609999999999,1,1.928,0.48121209172229334,1,Aenigmatite
Aenigmatite,Fe+2,2,4.567609999999999,1,1.928,0.48121209172229334,2,Aenigmatite
Aenigmatite,Ti+4,4,4.567609999999999,1,1.928,0.48121209172229334,4,Aenigmatite
Aenigmatite,O-2,-2,4.567609999999999,1,1.928,0.48121209172229334,-2,Aenigmatite
Aenigmatite,Si+4,4,4.567609999999999,1,1.928,0.48121209172229334,4,Aenigmatite
Andradite,Ca+2,2,4.5685,2,2.0425,0.49811238588990825,2,Andradite
Andradite,Fe+3,3,4.5685,2,2.0425,0.49811238588990825,3,Andradite
Andradite,Si+4,4,4.5685,2,2.0425,0.49811238588990825,4,Andradite
Andradite,O-2,-2,4.5685,2,2.0425,0.49811238588990825,-2,Andradite
Ankerite,Ca+2,2,4,4,2.026,0.485980436327233,2,Ankerite
Ankerite,Fe+2,2,4,4,2.026,0.485980436327233,2,Ankerite
Ankerite,Mg+2,2,4,4,2.026,0.485980436327233,2,Ankerite
Ankerite,C,NA,4,4,2.026,0.485980436327233,NA,Ankerite
Ankerite,O-2,-2,4,4,2.026,0.485980436327233,-2,Ankerite
Armalcolite,Mg+2,2,4.567609999999999,2,2.0300000000000002,0.47476713842859497,2,Armalcolite
Armalcolite,Fe+2,2,4.567609999999999,2,2.0300000000000002,0.47476713842859497,2,Armalcolite
Armalcolite,Ti+4,4,4.567609999999999,2,2.0300000000000002,0.47476713842859497,4,Armalcolite
Armalcolite,O-2,-2,4.567609999999999,2,2.0300000000000002,0.47476713842859497,-2,Armalcolite
Arsenopyrite,Fe+3,3,4,15,2.1966666666666668,0.1708396092442747,3,Arsenopyrite
Arsenopyrite,As,NA,4,15,2.1966666666666668,0.1708396092442747,NA,Arsenopyrite
Arsenopyrite,S,NA,4,15,2.1966666666666668,0.1708396092442747,NA,Arsenopyrite
Augite,Ca+2,2,4.7,8,1.885,0.4462639074229774,2,Augite
Augite,Mg+2,2,4.7,8,1.885,0.4462639074229774,2,Augite
Augite,Fe+2,2,4.7,8,1.885,0.4462639074229774,2,Augite
Augite,Fe+3,3,4.7,8,1.885,0.4462639074229774,3,Augite
Augite,Si+4,4,4.7,8,1.885,0.4462639074229774,4,Augite
Augite,O-2,-2,4.7,8,1.885,0.4462639074229774,-2,Augite
Awaruite,Ni,NA,4.62,3,1.87,0.030250557483916415,NA,Awaruite
Awaruite,Fe,NA,4.62,3,1.87,0.030250557483916415,NA,Awaruite
Barringerite,Fe,NA,4.62,1,1.9766666666666666,0.09563201941826524,NA,Barringerite
Barringerite,Ni,NA,4.62,1,1.9766666666666666,0.09563201941826524,NA,Barringerite
Barringerite,P,NA,4.62,1,1.9766666666666666,0.09563201941826524,NA,Barringerite
Beaverite-(Cu),Pb,NA,4,1,2.38,0.2472502545387273,NA,Beaverite-(Cu)
Beaverite-(Cu),Fe+3,3,4,1,2.38,0.2472502545387273,3,Beaverite-(Cu)
Beaverite-(Cu),Cu+2,2,4,1,2.38,0.2472502545387273,2,Beaverite-(Cu)
Beaverite-(Cu),S,NA,4,1,2.38,0.2472502545387273,NA,Beaverite-(Cu)
Beaverite-(Cu),O-2,-2,4,1,2.38,0.2472502545387273,-2,Beaverite-(Cu)
Beaverite-(Cu),H+1,1,4,1,2.38,0.2472502545387273,1,Beaverite-(Cu)
Berthierite,Fe+2,2,4,1,2.1533333333333333,0.1790386710418083,2,Berthierite
Berthierite,Sb+3,3,4,1,2.1533333333333333,0.1790386710418083,3,Berthierite
Berthierite,S-2,-2,4,1,2.1533333333333333,0.1790386710418083,-2,Berthierite
Bornite,Cu+1,1,4,6,2.1033333333333335,0.19696665703785887,1,Bornite
Bornite,Fe+3,3,4,6,2.1033333333333335,0.19696665703785887,3,Bornite
Bornite,S-2,-2,4,6,2.1033333333333335,0.19696665703785887,-2,Bornite
Chalcopyrite,Cu+1,1,4,34,2.1033333333333335,0.19696665703785887,1,Chalcopyrite
Chalcopyrite,Fe+3,3,4,34,2.1033333333333335,0.19696665703785887,3,Chalcopyrite
Chalcopyrite,S-2,-2,4,34,2.1033333333333335,0.19696665703785887,-2,Chalcopyrite
Chloritoid,Fe+2,2,4,2,2.196,0.33093148123127053,2,Chloritoid
Chloritoid,Al,NA,4,2,2.196,0.33093148123127053,NA,Chloritoid
Chloritoid,O-2,-2,4,2,2.196,0.33093148123127053,-2,Chloritoid
Chloritoid,Si+4,4,4,2,2.196,0.33093148123127053,4,Chloritoid
Chloritoid,H+1,1,4,2,2.196,0.33093148123127053,1,Chloritoid
Chromite,Fe+2,2,4.7,7,2.31,0.42523516677094486,2,Chromite
Chromite,Cr+3,3,4.7,7,2.31,0.42523516677094486,3,Chromite
Chromite,O-2,-2,4.7,7,2.31,0.42523516677094486,-2,Chromite
Cohenite,C,NA,4.62,1,2.19,0.23247346230790597,NA,Cohenite
Cohenite,Fe,NA,4.62,1,2.19,0.23247346230790597,NA,Cohenite
Coulsonite,Fe+2,2,4.5685,2,2.3,0.4314437011903018,2,Coulsonite
Coulsonite,V+3,3,4.5685,2,2.3,0.4314437011903018,3,Coulsonite
Coulsonite,O-2,-2,4.5685,2,2.3,0.4314437011903018,-2,Coulsonite
Cronstedtite,Fe+2,2,4.7,3,2.171666666666667,0.2936582058787341,2,Cronstedtite
Cronstedtite,Fe+3,3,4.7,3,2.171666666666667,0.2936582058787341,3,Cronstedtite
Cronstedtite,Si+4,4,4.7,3,2.171666666666667,0.2936582058787341,4,Cronstedtite
Cronstedtite,O-2,-2,4.7,3,2.171666666666667,0.2936582058787341,-2,Cronstedtite
Cronstedtite,H+1,1,4.7,3,2.171666666666667,0.2936582058787341,1,Cronstedtite
Cubanite,Cu+1,1,4,2,2.035,0.1792770156948865,1,Cubanite
Cubanite,Fe+2,2,4,2,2.035,0.1792770156948865,2,Cubanite
Cubanite,Fe+3,3,4,2,2.035,0.1792770156948865,3,Cubanite
Cubanite,S-2,-2,4,2,2.035,0.1792770156948865,-2,Cubanite
Daubreelite,Fe+2,2,4.62,2,2.0233333333333334,0.24193916536092305,2,Daubreelite
Daubreelite,Cr+3,3,4.62,2,2.0233333333333334,0.24193916536092305,3,Daubreelite
Daubreelite,S-2,-2,4.62,2,2.0233333333333334,0.24193916536092305,-2,Daubreelite
Epidote,Ca+2,2,4,5,1.9966666666666666,0.40715943090790796,2,Epidote
Epidote,Al,NA,4,5,1.9966666666666666,0.40715943090790796,NA,Epidote
Epidote,Fe+3,3,4,5,1.9966666666666666,0.40715943090790796,3,Epidote
Epidote,Si+4,4,4,5,1.9966666666666666,0.40715943090790796,4,Epidote
Epidote,O-2,-2,4,5,1.9966666666666666,0.40715943090790796,-2,Epidote
Epidote,H+1,1,4,5,1.9966666666666666,0.40715943090790796,1,Epidote
Fayalite,Fe+2,2,4.567609999999999,1,2.39,0.38075313807531375,2,Fayalite
Fayalite,Si+4,4,4.567609999999999,1,2.39,0.38075313807531375,4,Fayalite
Fayalite,O-2,-2,4.567609999999999,1,2.39,0.38075313807531375,-2,Fayalite
Ferro-pargasite,Na+1,1,4,1,1.8442857142857143,0.45793776489805893,1,Ferro-pargasite
Ferro-pargasite,Ca+2,2,4,1,1.8442857142857143,0.45793776489805893,2,Ferro-pargasite
Ferro-pargasite,Fe+2,2,4,1,1.8442857142857143,0.45793776489805893,2,Ferro-pargasite
Ferro-pargasite,Al,NA,4,1,1.8442857142857143,0.45793776489805893,NA,Ferro-pargasite
Ferro-pargasite,Si+4,4,4,1,1.8442857142857143,0.45793776489805893,4,Ferro-pargasite
Ferro-pargasite,O-2,-2,4,1,1.8442857142857143,0.45793776489805893,-2,Ferro-pargasite
Ferro-pargasite,H+1,1,4,1,1.8442857142857143,0.45793776489805893,1,Ferro-pargasite
Frohbergite,Fe,NA,4,1,1.965,0.0971597103920447,NA,Frohbergite
Frohbergite,Te,NA,4,1,1.965,0.0971597103920447,NA,Frohbergite
Goethite,Fe+3,3,4.62,4,2.49,0.33866162835637514,3,Goethite
Goethite,O-2,-2,4.62,4,2.49,0.33866162835637514,-2,Goethite
Goethite,H+1,1,4.62,4,2.49,0.33866162835637514,1,Goethite
Greenalite,Fe+2,2,4.7,2,2.24,0.30714480377290093,2,Greenalite
Greenalite,Fe+3,3,4.7,2,2.24,0.30714480377290093,3,Greenalite
Greenalite,Si+4,4,4.7,2,2.24,0.30714480377290093,4,Greenalite
Greenalite,O-2,-2,4.7,2,2.24,0.30714480377290093,-2,Greenalite
Greenalite,H+1,1,4.7,2,2.24,0.30714480377290093,1,Greenalite
Grunerite,Fe+2,2,4,2,2.24,0.30714480377290093,2,Grunerite
Grunerite,Si+4,4,4,2,2.24,0.30714480377290093,4,Grunerite
Grunerite,O-2,-2,4,2,2.24,0.30714480377290093,-2,Grunerite
Grunerite,H+1,1,4,2,2.24,0.30714480377290093,1,Grunerite
Haxonite,Fe,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite
Haxonite,Ni,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite
Haxonite,C,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite
Hedenbergite,Ca+2,2,4.567609999999999,2,2.0425,0.49811238588990825,2,Hedenbergite
Hedenbergite,Fe+2,2,4.567609999999999,2,2.0425,0.49811238588990825,2,Hedenbergite
Hedenbergite,Si+4,4,4.567609999999999,2,2.0425,0.49811238588990825,4,Hedenbergite
Hedenbergite,O-2,-2,4.567609999999999,2,2.0425,0.49811238588990825,-2,Hedenbergite
Hematite,Fe+3,3,4.62,5,2.635,0.4320462685807747,3,Hematite
Hematite,O-2,-2,4.62,5,2.635,0.4320462685807747,-2,Hematite
Hercynite,Fe+2,2,4.5685,2,2.2933333333333334,0.43566116694016305,2,Hercynite
Hercynite,Al,NA,4.5685,2,2.2933333333333334,0.43566116694016305,NA,Hercynite
Hercynite,O-2,-2,4.5685,2,2.2933333333333334,0.43566116694016305,-2,Hercynite
Hexamolybdenum,Mo,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum
Hexamolybdenum,Ru,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum
Hexamolybdenum,Fe,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum
Hexamolybdenum,Ir,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum
Hexamolybdenum,Os,NA,4.7,2,2.1180000000000003,0.07645227053025976,NA,Hexamolybdenum
Hibonite-(Fe),Fe+2,2,4.567609999999999,1,2.2933333333333334,0.43566116694016305,2,Hibonite-(Fe)
Hibonite-(Fe),Al,NA,4.567609999999999,1,2.2933333333333334,0.43566116694016305,NA,Hibonite-(Fe)
Hibonite-(Fe),O-2,-2,4.567609999999999,1,2.2933333333333334,0.43566116694016305,-2,Hibonite-(Fe)
Hydrobiotite,K+1,1,4,1,1.8728571428571428,0.4392175485479728,1,Hydrobiotite
Hydrobiotite,Mg+2,2,4,1,1.8728571428571428,0.4392175485479728,2,Hydrobiotite
Hydrobiotite,Fe+2,2,4,1,1.8728571428571428,0.4392175485479728,2,Hydrobiotite
Hydrobiotite,Si+4,4,4,1,1.8728571428571428,0.4392175485479728,4,Hydrobiotite
Hydrobiotite,Al,NA,4,1,1.8728571428571428,0.4392175485479728,NA,Hydrobiotite
Hydrobiotite,O-2,-2,4,1,1.8728571428571428,0.4392175485479728,-2,Hydrobiotite
Hydrobiotite,H+1,1,4,1,1.8728571428571428,0.4392175485479728,1,Hydrobiotite
Ilmenite,Fe+2,2,4.567609999999999,8,2.27,0.45091285297503997,2,Ilmenite
Ilmenite,Ti+4,4,4.567609999999999,8,2.27,0.45091285297503997,4,Ilmenite
Ilmenite,O-2,-2,4.567609999999999,8,2.27,0.45091285297503997,-2,Ilmenite
Iron,Fe,NA,4.7,6,1.83,NA,NA,Iron
Isocubanite,Cu+1,1,4.62,2,2.035,0.1792770156948865,1,Isocubanite
Isocubanite,Fe+2,2,4.62,2,2.035,0.1792770156948865,2,Isocubanite
Isocubanite,Fe+3,3,4.62,2,2.035,0.1792770156948865,3,Isocubanite
Isocubanite,S-2,-2,4.62,2,2.035,0.1792770156948865,-2,Isocubanite
Jarosite,K+1,1,4,2,2.174,0.44358542158537145,1,Jarosite
Jarosite,Fe+3,3,4,2,2.174,0.44358542158537145,3,Jarosite
Jarosite,S+6,6,4,2,2.174,0.44358542158537145,6,Jarosite
Jarosite,O-2,-2,4,2,2.174,0.44358542158537145,-2,Jarosite
Jarosite,H+1,1,4,2,2.174,0.44358542158537145,1,Jarosite
Kamiokite,Fe+2,2,4.567609999999999,1,2.4766666666666666,0.34337736062356905,2,Kamiokite
Kamiokite,Mo+4,4,4.567609999999999,1,2.4766666666666666,0.34337736062356905,4,Kamiokite
Kamiokite,O-2,-2,4.567609999999999,1,2.4766666666666666,0.34337736062356905,-2,Kamiokite
Kirschsteinite,Ca+2,2,4.5685,2,2.0425,0.49811238588990825,2,Kirschsteinite
Kirschsteinite,Fe+2,2,4.5685,2,2.0425,0.49811238588990825,2,Kirschsteinite
Kirschsteinite,Si+4,4,4.5685,2,2.0425,0.49811238588990825,4,Kirschsteinite
Kirschsteinite,O-2,-2,4.5685,2,2.0425,0.49811238588990825,-2,Kirschsteinite
Lawrencite,Fe+2,2,4.62,1,2.495,0.37693467694513355,2,Lawrencite
Lawrencite,Cl-1,-1,4.62,1,2.495,0.37693467694513355,-1,Lawrencite
Lollingite,Fe,NA,4,1,2.005,0.12343509896024524,NA,Lollingite
Lollingite,As,NA,4,1,2.005,0.12343509896024524,NA,Lollingite
Mackinawite,Fe,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite
Mackinawite,Ni,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite
Mackinawite,S,NA,4.62,3,2.1066666666666665,0.19550585786175284,NA,Mackinawite
Maghemite,Fe+3,3,4.62,2,2.3666666666666667,0.39276081692759046,3,Maghemite
Maghemite,O-2,-2,4.62,2,2.3666666666666667,0.39276081692759046,-2,Maghemite
Magnetite,Fe+2,2,4.7,48,2.3666666666666667,0.39276081692759046,2,Magnetite
Magnetite,Fe+3,3,4.7,48,2.3666666666666667,0.39276081692759046,3,Magnetite
Magnetite,O-2,-2,4.7,48,2.3666666666666667,0.39276081692759046,-2,Magnetite
Marcasite,Fe,NA,4,2,2.205,0.2405125106076692,NA,Marcasite
Marcasite,S,NA,4,2,2.205,0.2405125106076692,NA,Marcasite
Pentlandite,Ni,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite
Pentlandite,Fe,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite
Pentlandite,S,NA,4.7,6,2.1066666666666665,0.19550585786175284,NA,Pentlandite
Pigeonite,Mg+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite
Pigeonite,Fe+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite
Pigeonite,Ca+2,2,4.5685,4,1.896,0.49578900702076156,2,Pigeonite
Pigeonite,Si+4,4,4.5685,4,1.896,0.49578900702076156,4,Pigeonite
Pigeonite,O-2,-2,4.5685,4,1.896,0.49578900702076156,-2,Pigeonite
Plumbojarosite,Pb,NA,4,1,2.476,0.24357848276630764,NA,Plumbojarosite
Plumbojarosite,Fe+3,3,4,1,2.476,0.24357848276630764,3,Plumbojarosite
Plumbojarosite,S,NA,4,1,2.476,0.24357848276630764,NA,Plumbojarosite
Plumbojarosite,O-2,-2,4,1,2.476,0.24357848276630764,-2,Plumbojarosite
Plumbojarosite,H+1,1,4,1,2.476,0.24357848276630764,1,Plumbojarosite
Pyrite,Fe+2,2,4,44,2.205,0.2405125106076692,2,Pyrite
Pyrite,S,NA,4,44,2.205,0.2405125106076692,NA,Pyrite
Pyrosmalite-(Fe),Fe+2,2,4,1,2.3425000000000002,0.31976970019183726,2,Pyrosmalite-(Fe)
Pyrosmalite-(Fe),Si+4,4,4,1,2.3425000000000002,0.31976970019183726,4,Pyrosmalite-(Fe)
Pyrosmalite-(Fe),O-2,-2,4,1,2.3425000000000002,0.31976970019183726,-2,Pyrosmalite-(Fe)
Pyrosmalite-(Fe),H+1,1,4,1,2.3425000000000002,0.31976970019183726,1,Pyrosmalite-(Fe)
Pyrrhotite,Fe+2,2,4.7,58,2.08,0.2081791836020285,2,Pyrrhotite
Pyrrhotite,Fe+3,3,4.7,58,2.08,0.2081791836020285,3,Pyrrhotite
Pyrrhotite,S-2,-2,4.7,58,2.08,0.2081791836020285,-2,Pyrrhotite
Reevesite,Ni+2,2,4.62,2,2.386,0.27387901286936156,2,Reevesite
Reevesite,Fe+3,3,4.62,2,2.386,0.27387901286936156,3,Reevesite
Reevesite,C+4,4,4.62,2,2.386,0.27387901286936156,4,Reevesite
Reevesite,O-2,-2,4.62,2,2.386,0.27387901286936156,-2,Reevesite
Reevesite,H+1,1,4.62,2,2.386,0.27387901286936156,1,Reevesite
Rhonite,Ca+2,2,4.5685,2,1.8042857142857143,0.43429914999369346,2,Rhonite
Rhonite,Mg+2,2,4.5685,2,1.8042857142857143,0.43429914999369346,2,Rhonite
Rhonite,Fe+3,3,4.5685,2,1.8042857142857143,0.43429914999369346,3,Rhonite
Rhonite,Ti+4,4,4.5685,2,1.8042857142857143,0.43429914999369346,4,Rhonite
Rhonite,O-2,-2,4.5685,2,1.8042857142857143,0.43429914999369346,-2,Rhonite
Rhonite,Si+4,4,4.5685,2,1.8042857142857143,0.43429914999369346,4,Rhonite
Rhonite,Al,NA,4.5685,2,1.8042857142857143,0.43429914999369346,NA,Rhonite
Roaldite,Fe,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Roaldite,Ni,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Roaldite,N,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Schorl,Na+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl
Schorl,Fe+2,2,4,1,1.9928571428571429,0.380543673344398,2,Schorl
Schorl,Al,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl
Schorl,Si+4,4,4,1,1.9928571428571429,0.380543673344398,4,Schorl
Schorl,O-2,-2,4,1,1.9928571428571429,0.380543673344398,-2,Schorl
Schorl,B,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl
Schorl,H+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl
Schreibersite,Fe,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Schreibersite,Ni,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Schreibersite,P,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Siderite,Fe+2,2,4,2,2.6066666666666665,0.30939685625808233,2,Siderite
Siderite,C,NA,4,2,2.6066666666666665,0.30939685625808233,NA,Siderite
Siderite,O-2,-2,4,2,2.6066666666666665,0.30939685625808233,-2,Siderite
Siderotil,Fe+2,2,4,4,2.5125,0.274624462219396,2,Siderotil
Siderotil,S+6,6,4,4,2.5125,0.274624462219396,6,Siderotil
Siderotil,O-2,-2,4,4,2.5125,0.274624462219396,-2,Siderotil
Siderotil,H+1,1,4,4,2.5125,0.274624462219396,1,Siderotil
Stannite,Cu+1,1,4,1,2.0675,0.167241636241546,1,Stannite
Stannite,Fe+2,2,4,1,2.0675,0.167241636241546,2,Stannite
Stannite,Sn+4,4,4,1,2.0675,0.167241636241546,4,Stannite
Stannite,S-2,-2,4,1,2.0675,0.167241636241546,-2,Stannite
Taenite,Ni,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite
Taenite,Fe,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite
Tennantite-(Fe),Cu+1,1,4,6,2.078,0.14973971283897608,1,Tennantite-(Fe)
Tennantite-(Fe),Fe+2,2,4,6,2.078,0.14973971283897608,2,Tennantite-(Fe)
Tennantite-(Fe),As+3,3,4,6,2.078,0.14973971283897608,3,Tennantite-(Fe)
Tennantite-(Fe),S-2,-2,4,6,2.078,0.14973971283897608,-2,Tennantite-(Fe)
Tetrataenite,Fe,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite
Tetrataenite,Ni,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite
Tochilinite,Fe+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite
Tochilinite,S-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite
Tochilinite,Mg+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite
Tochilinite,O-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite
Tochilinite,H+1,1,4.7,2,2.1983333333333333,0.3372256478362073,1,Tochilinite
Tremolite,Ca+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite
Tremolite,Mg+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite
Tremolite,Fe,NA,4,1,1.9466666666666668,0.4365854110792049,NA,Tremolite
Tremolite,Si+4,4,4,1,1.9466666666666668,0.4365854110792049,4,Tremolite
Tremolite,O-2,-2,4,1,1.9466666666666668,0.4365854110792049,-2,Tremolite
Tremolite,H+1,1,4,1,1.9466666666666668,0.4365854110792049,1,Tremolite
Trevorite,Ni+2,2,4.62,1,2.3933333333333335,0.37910392773157625,2,Trevorite
Trevorite,Fe+3,3,4.62,1,2.3933333333333335,0.37910392773157625,3,Trevorite
Trevorite,O-2,-2,4.62,1,2.3933333333333335,0.37910392773157625,-2,Trevorite
Troilite,Fe+2,2,4.7,6,2.205,0.2405125106076692,2,Troilite
Troilite,S-2,-2,4.7,6,2.205,0.2405125106076692,-2,Troilite
Violarite,Fe+2,2,4,1,2.1066666666666665,0.19550585786175284,2,Violarite
Violarite,Ni+3,3,4,1,2.1066666666666665,0.19550585786175284,3,Violarite
Violarite,S-2,-2,4,1,2.1066666666666665,0.19550585786175284,-2,Violarite
Wairauite,Co,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite
Wairauite,Fe,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite
Wustite,Fe+2,2,4.62,1,2.635,0.4320462685807747,2,Wustite
Wustite,O-2,-2,4.62,1,2.635,0.4320462685807747,-2,Wustite
