cluster_ID,Degree centrality (normalized),Closeness centrality,Number of known localities,Maximum known age (Ga) of mineral,Mean mineral electronegativity,COV mineral electronegativity
6,0.8571428571428571,0.003289473684210526,2,4,1.9466666666666668,0.4365854110792049
6,0.7142857142857143,0.0032679738562091504,1,4.567609999999999,1.928,0.48121209172229334
6,0.5714285714285714,0.003067484662576687,2,4.5685,2.0425,0.49811238588990825
6,0.7142857142857143,0.0033333333333333335,4,4,2.026,0.485980436327233
6,0.5714285714285714,0.0032467532467532465,2,4.567609999999999,2.0300000000000002,0.47476713842859497
1,0.42857142857142855,0.002645502645502646,15,4,2.1966666666666668,0.1708396092442747
6,0.8571428571428571,0.0033783783783783786,8,4.7,1.885,0.4462639074229774
1,0.2857142857142857,0.002272727272727273,3,4.62,1.87,0.030250557483916415
1,0.42857142857142855,0.00228310502283105,1,4.62,1.9766666666666666,0.09563201941826524
5,0.8571428571428571,0.003205128205128205,1,4,2.38,0.2472502545387273
2,0.42857142857142855,0.002645502645502646,1,4,2.1533333333333333,0.1790386710418083
2,0.42857142857142855,0.0024509803921568627,6,4,2.1033333333333335,0.19696665703785887
2,0.42857142857142855,0.0024509803921568627,34,4,2.1033333333333335,0.19696665703785887
6,0.7142857142857143,0.0032679738562091504,2,4,2.196,0.33093148123127053
2,0.42857142857142855,0.0032258064516129032,7,4.7,2.31,0.42523516677094486
1,0.2857142857142857,0.0024875621890547263,1,4.62,2.19,0.23247346230790597
2,0.42857142857142855,0.0032258064516129032,2,4.5685,2.3,0.4314437011903018
6,0.7142857142857143,0.0033557046979865775,3,4.7,2.171666666666667,0.2936582058787341
2,0.5714285714285714,0.0029411764705882357,2,4,2.035,0.1792770156948865
2,0.42857142857142855,0.002645502645502646,2,4.62,2.0233333333333334,0.24193916536092305
6,0.8571428571428571,0.003105590062111801,5,4,1.9966666666666666,0.40715943090790796
6,0.42857142857142855,0.0032258064516129032,1,4.567609999999999,2.39,0.38075313807531375
6,1,0.0033112582781456954,1,4,1.8442857142857143,0.45793776489805893
1,0.2857142857142857,0.002272727272727273,1,4,1.965,0.0971597103920447
6,0.42857142857142855,0.003048780487804878,4,4.62,2.49,0.33866162835637514
6,0.7142857142857143,0.0033557046979865775,2,4.7,2.24,0.30714480377290093
6,0.5714285714285714,0.0032467532467532465,2,4,2.24,0.30714480377290093
1,0.42857142857142855,0.0025,1,4.62,2.0966666666666667,0.18821810603432415
6,0.5714285714285714,0.0032467532467532465,2,4.567609999999999,2.0425,0.49811238588990825
5,0.2857142857142857,0.0030303030303030303,5,4.62,2.635,0.4320462685807747
6,0.42857142857142855,0.0032258064516129032,2,4.5685,2.2933333333333334,0.43566116694016305
3,0.7142857142857143,0.002304147465437788,2,4.7,2.1180000000000003,0.07645227053025976
6,0.42857142857142855,0.0032258064516129032,1,4.567609999999999,2.2933333333333334,0.43566116694016305
6,1,0.0033112582781456954,1,4,1.8728571428571428,0.4392175485479728
6,0.42857142857142855,0.0032258064516129032,8,4.567609999999999,2.27,0.45091285297503997
1,0.14285714285714285,0.0022624434389140274,6,4.7,1.83,NA
2,0.5714285714285714,0.0029411764705882357,2,4.62,2.035,0.1792770156948865
4,0.7142857142857143,0.0030864197530864196,2,4,2.174,0.44358542158537145
2,0.42857142857142855,0.0032258064516129032,1,4.567609999999999,2.4766666666666666,0.34337736062356905
6,0.5714285714285714,0.0032467532467532465,2,4.5685,2.0425,0.49811238588990825
2,0.2857142857142857,0.002604166666666667,1,4.62,2.495,0.37693467694513355
1,0.2857142857142857,0.002358490566037736,1,4,2.005,0.12343509896024524
1,0.42857142857142855,0.0025906735751295338,3,4.62,2.1066666666666665,0.19550585786175284
5,0.2857142857142857,0.0030303030303030303,2,4.62,2.3666666666666667,0.39276081692759046
5,0.42857142857142855,0.0033112582781456954,48,4.7,2.3666666666666667,0.39276081692759046
1,0.2857142857142857,0.002577319587628866,2,4,2.205,0.2405125106076692
1,0.42857142857142855,0.0025906735751295338,6,4.7,2.1066666666666665,0.19550585786175284
6,0.7142857142857143,0.0032679738562091504,4,4.5685,1.896,0.49578900702076156
5,0.7142857142857143,0.003184713375796178,1,4,2.476,0.24357848276630764
1,0.2857142857142857,0.0030864197530864196,44,4,2.205,0.2405125106076692
6,0.5714285714285714,0.0032467532467532465,1,4,2.3425000000000002,0.31976970019183726
2,0.42857142857142855,0.0029239766081871348,58,4.7,2.08,0.2081791836020285
5,0.7142857142857143,0.0030864197530864196,2,4.62,2.386,0.27387901286936156
6,1,0.003125,2,4.5685,1.8042857142857143,0.43429914999369346
1,0.42857142857142855,0.00228310502283105,1,4.62,2.26,0.29941729505694104
6,1,0.0033112582781456954,1,4,1.9928571428571429,0.380543673344398
1,0.42857142857142855,0.00228310502283105,4,4.7,1.9766666666666666,0.09563201941826524
1,0.42857142857142855,0.003289473684210526,2,4,2.6066666666666665,0.30939685625808233
4,0.5714285714285714,0.0032467532467532465,4,4,2.5125,0.274624462219396
2,0.5714285714285714,0.0026595744680851063,1,4,2.0675,0.167241636241546
1,0.2857142857142857,0.002272727272727273,4,4.62,1.87,0.030250557483916415
2,0.5714285714285714,0.0026595744680851063,6,4,2.078,0.14973971283897608
1,0.2857142857142857,0.002272727272727273,2,4.62,1.87,0.030250557483916415
2,0.7142857142857143,0.0033112582781456954,2,4.7,2.1983333333333333,0.3372256478362073
6,0.8571428571428571,0.003496503496503496,1,4,1.9466666666666668,0.4365854110792049
5,0.42857142857142855,0.003048780487804878,1,4.62,2.3933333333333335,0.37910392773157625
2,0.2857142857142857,0.002631578947368421,6,4.7,2.205,0.2405125106076692
2,0.42857142857142855,0.002645502645502646,1,4,2.1066666666666665,0.19550585786175284
1,0.2857142857142857,0.002272727272727273,2,4.5685,1.855,0.019059481972683156
2,0.2857142857142857,0.003205128205128205,1,4.62,2.635,0.4320462685807747
